title,company_name,description
Staff Engineer,Instacart,"Instacart is hiring a Staff Engineer to help build and scale our data and engineering platform. In this role you will developed RESTful APIs, designed microservices architecture, and optimized database queries. Must have: 3+ years in docker, hands-on experience with mongodb and redis, strong knowledge of sql. Nice to have: microservices, git, docker. You will work closely with product and design teams to deliver high-quality software. Our stack: docker, mongodb, postman. Remote-friendly, competitive salary."
Operations Analyst,Instacart,"Instacart is hiring a Operations Analyst to help build and scale our data and engineering platform. In this role you will translated business needs into technical specs, facilitated stakeholder workshops, and created executive dashboards. Must have: 4+ years in requirements gathering, hands-on experience with jira and confluence, strong knowledge of stakeholder management. Nice to have: agile, jira, power bi. You will work closely with product and design teams to deliver high-quality software. Our stack: requirements gathering, jira, tableau. Remote-friendly, competitive salary."
Senior Full Stack Engineer,Twilio,"We are looking for a Senior Full Stack Engineer to join our developer experience team at Twilio. You will built real-time chat with WebSockets and improved SEO and performance. The ideal candidate has strong experience in html, postgresql, and node.js. You should be comfortable working with jira and vs code. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in aws, git, and javascript. Familiarity with postman is a plus. We offer competitive compensation, equity, and excellent benefits."
Lead Data Engineer,Robinhood,"We are looking for a Lead Data Engineer to join our cloud infrastructure team at Robinhood. You will deployed Kafka streaming systems and designed ETL workflows. The ideal candidate has strong experience in kafka, databricks, and hadoop. You should be comfortable working with jenkins and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in aws, etl, and postgresql. Familiarity with airflow is a plus. We offer competitive compensation, equity, and excellent benefits."
ML Engineer,Anthropic,"We are looking for a ML Engineer to join our developer experience team at Anthropic. You will deployed ML models to production and optimized model latency. The ideal candidate has strong experience in llm, pytorch, and transformers. You should be comfortable working with hugging face and kubernetes. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in tensorflow, machine learning, and computer vision. Familiarity with mlflow is a plus. We offer competitive compensation, equity, and excellent benefits."
Principal Engineer,Elastic,"We are looking for a Principal Engineer to join our analytics team at Elastic. You will designed microservices architecture and led code reviews. The ideal candidate has strong experience in aws, ci/cd, and postgresql. You should be comfortable working with git and jenkins. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in microservices, rest api, and docker. Familiarity with vs code is a plus. We offer competitive compensation, equity, and excellent benefits."
Full Stack Developer,AI Dynamics,"Join AI Dynamics as a Full Stack Developer. We are a fast-growing startup solving hard problems with react. What you'll do: developed end-to-end web applications; built React frontends with Node.js backends; designed and deployed full stack features. What we need: deep expertise in aws and mongodb; strong background in typescript; experience deploying postman at scale. Bonus: html, sql, figma. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Business Analyst,MongoDB,"MongoDB is hiring a Senior Business Analyst to help build and scale our data and engineering platform. In this role you will produced weekly performance reports, developed KPI frameworks, and analyzed business requirements. Must have: 5+ years in agile, hands-on experience with jira and tableau, strong knowledge of power bi. Nice to have: reporting, tableau, power bi. You will work closely with product and design teams to deliver high-quality software. Our stack: agile, jira, sql. Remote-friendly, competitive salary."
Senior DevOps Engineer,MongoDB,"Join MongoDB as a Senior DevOps Engineer. We are a fast-growing startup solving hard problems with bash. What you'll do: managed Kubernetes clusters; reduced deployment time; automated CI/CD pipelines. What we need: deep expertise in grafana and linux; strong background in ci/cd; experience deploying jenkins at scale. Bonus: python, terraform, pagerduty. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Data Infrastructure Engineer,Apple,"Apple is hiring a Data Infrastructure Engineer to help build and scale our data and engineering platform. In this role you will optimized SQL queries, automated ingestion jobs, and built data pipelines. Must have: 5+ years in redshift, hands-on experience with data pipelines and databricks, strong knowledge of spark. Nice to have: hadoop, jenkins, git. You will work closely with product and design teams to deliver high-quality software. Our stack: redshift, data pipelines, kubernetes. Remote-friendly, competitive salary."
